id	name	description	modelPath	mmprojPath	modelDraftPath	host	port	ctxSize	gpuLayers	batchSize	uBatchSize	cacheRamMiB	cacheTypeK	cacheTypeV	cacheReuse	specType	specDraftNMax	flashAttention	imageMinTokens	metrics	jinja	active	createdAt	updatedAt
8c02d02ec3784d049f559a33ce755ba9	gpu45-qwen3-6-35b-a3b-ud-q4_k_xl-b420e923	Qwen3.6 35B A3B Q4 XL with embedded MTP and F16 projector, max context candidate	/models/huggingface/staging/unsloth--Qwen3.6-35B-A3B-MTP-GGUF/main/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	/models/huggingface/staging/unsloth--Qwen3.6-35B-A3B-MTP-GGUF/main/mmproj-F16.gguf		0.0.0.0	30000	262144	all	4096	1024	16384	q4_0	q4_0	1024	draft-mtp	2	on	1024	1	1	1	2026-07-04T01:41:59.208Z	2026-07-04 01:53:29
2ea4bddcffcb4201bb8578c4ff159ed7	gpu45-gemma-4-12b-it-ud-q8-k-xl-01017739	gemma-4-12b-it-UD-Q8_K_XL.gguf with MTP, reasoning off by launcher	/models/huggingface/staging/unsloth--gemma-4-12b-it-GGUF/main/gemma-4-12b-it-UD-Q8_K_XL.gguf		/models/huggingface/staging/unsloth--gemma-4-12b-it-GGUF/main/mtp-gemma-4-12b-it.gguf	0.0.0.0	30000	262144	all	8192	1536	16384	q4_0	q4_0	1024	draft-mtp	2	on	1024	1	1	0	2026-07-03T23:44:41.550+00:00	2026-07-03 23:54:47
f7539beb27a44e56a080b6e79d3f12ed	gpu45-gemma-4-26b-a4b-it-ud-q8-k-xl-044a5cb5	gemma-4-26B-A4B-it-UD-Q8_K_XL.gguf with MTP, reasoning off by launcher	/models/huggingface/staging/unsloth--gemma-4-26B-A4B-it-GGUF/main/gemma-4-26B-A4B-it-UD-Q8_K_XL.gguf		/models/huggingface/staging/unsloth--gemma-4-26B-A4B-it-GGUF/main/mtp-gemma-4-26B-A4B-it.gguf	0.0.0.0	30000	131072	all	8192	1536	16384	q4_0	q4_0	1024	draft-mtp	2	on	1024	1	1	0	2026-07-03T23:44:41.550+00:00	2026-07-03 23:54:47
